,price
14875,1380000
11163,2021000
13684,1249380
6590,870000
18876,2910000
2178,1800000
17265,954000
9162,1188000
11259,3010000
22453,1017000
8540,1266000
2783,1832000
17236,1197000
14644,4701650
12400,1643000
21941,2560000
7946,1579694
8449,710000
5116,2852000
12038,1934000
8099,1728000
14974,1035000
14459,2920000
21538,1000000
4909,2219450
9748,1093000
5412,1080000
5727,1306500
5647,1417300
20496,1661000
15137,859000
17843,961000
12147,1474000
18790,1667000
2736,1643000
11403,2580000
16339,1710000
4230,1828000
22224,5298000
10761,1641000
10010,1522000
22772,1380000
14067,1170000
11006,1585000
16851,926071
17730,988000
18044,1209271
12930,1622000
20964,1780000
11832,1156000
1579,1242000
2968,1450000
18090,1763800
9362,1142000
485,2654505
9270,1153000
967,1538000
11752,2182000
5547,3900000
21317,1852004
13549,1251360
1365,1530000
1947,2542000
9423,1215000
11311,1935000
2225,1560000
20195,1616220
6377,1188000
7330,3268000
9849,1182000
5293,1000000
20294,1847200
23576,2270000
12372,1754000
21201,873200
8478,1389000
15713,1553000
7685,2905650
11792,1430000
4545,908000
9197,2842888
3204,858000
2549,1580000
4012,1810000
3886,1102000
14426,2203000
7901,1772714
9022,718000
22130,3786536
13260,1600000
21433,1684782
16150,2182500
7247,1309000
17306,947800
10815,2139000
14071,1288000
19461,1639000
16736,910034
15880,1581000
14462,2070000
601,1107000
9912,1500000
14775,950000
22368,1218000
21176,625000
8590,1726000
2167,2250000
18996,852000
21127,2029000
2441,1539000
9008,1137000
23568,2150000
21540,1210000
14150,1180000
2624,1630000
8453,1103000
18705,1353600
741,2567000
411,3808000
9209,868000
16731,1326164
7449,1620000
14888,1510000
17410,1672000
14687,950000
5207,2500000
19513,1085000
13487,5550000
16413,4500000
2760,1877000
15701,1554000
6741,1379070
15287,1346000
4193,1855000
7908,3117580
10852,1670000
18707,1125415
3105,1920000
8764,1690000
4496,813000
4307,890000
8145,1820000
15716,1647000
20754,1437000
23084,2430150
9755,2770000
11318,2730000
6279,1246000
9809,735000
9936,862000
4168,5450000
8951,1738888
10189,1186000
12030,1317200
2078,17600000
8731,877500
3882,1258000
14449,3081000
2183,1713000
10688,1663000
22427,1117000
12170,2727000
2522,1200000
21838,2100000
9115,1438000
19309,2375000
18595,1595300
23567,1680000
19591,2200000
23197,1468000
12163,2770000
22077,1250000
18819,1179597
14667,2620000
9671,856000
6920,1108000
22193,1770000
2154,975000
21386,1043602
16334,2950000
23079,1930000
18406,1780000
2298,1708000
3168,807000
21997,4100000
22709,1480000
23216,2250000
